time,open,high,low,close,Buy Signal,Sell Signal,SMA,Buy Signal,Sell Signal,SMA,Buy Signal,Sell Signal,SMA,Buy Signal,Sell Signal,SMA
1724986680,0.0000077069,0.0000077142,0.0000077069,0.0000077104,0,0,0.000007682306000000011,0,0,0.000007682306000000011,0,0,0.000007682306000000011,0,0,0.000007682306000000011
1724986740,0.0000077104,0.0000077113,0.0000077049,0.0000077062,0,0,0.000007683266000000012,0,0,0.000007683266000000012,0,0,0.000007683266000000012,0,0,0.000007683266000000012

1724986860,0.0000076859,0.0000076946,0.000007684,0.0000076898,0,0,0.000007684610000000012,0,0,0.000007684610000000012,0,0,0.000007684610000000012,0,0,0.000007684610000000012
1724986920,0.0000076898,0.0000076938,0.0000076817,0.0000076817,0,0,0.00000768505800000001,0,0,0.00000768505800000001,0,0,0.00000768505800000001,0,0,0.00000768505800000001
1724986980,0.0000076817,0.0000076817,0.0000076686,0.0000076709,0,0,0.000007685450000000011,0,0,0.000007685450000000011,0,0,0.000007685450000000011,0,0,0.000007685450000000011
1724987040,0.0000076709,0.0000076813,0.0000076647,0.0000076809,1,0,0.000007685818000000011,0,0,0.000007685818000000011,0,0,0.000007685818000000011,0,0,0.000007685818000000011
1724987100,0.0000076809,0.0000076809,0.0000076656,0.0000076681,0,0,0.000007685840000000011,0,0,0.000007685840000000011,0,0,0.000007685840000000011,0,0,0.000007685840000000011
1724987160,0.0000076681,0.0000076757,0.0000076581,0.0000076703,0,0,0.000007685812000000012,0,0,0.000007685812000000012,0,0,0.000007685812000000012,0,0,0.000007685812000000012
1724987220,0.0000076703,0.0000076728,0.0000076693,0.0000076719,0,0,0.000007686026000000012,0,0,0.000007686026000000012,0,0,0.000007686026000000012,0,0,0.000007686026000000012
1724987280,0.0000076719,0.0000076825,0.0000076718,0.0000076718,0,0,0.000007686236000000011,0,0,0.000007686236000000011,0,0,0.000007686236000000011,0,0,0.000007686236000000011
1724987340,0.0000076718,0.0000076779,0.0000076675,0.0000076677,0,0,0.000007686490000000011,0,0,0.000007686490000000011,0,0,0.000007686490000000011,0,0,0.000007686490000000011
1724987400,0.0000076677,0.0000076717,0.0000076601,0.0000076631,0,0,0.000007686586000000012,0,0,0.000007686586000000012,0,0,0.000007686586000000012,0,0,0.000007686586000000012
1724987460,0.0000076631,0.0000076641,0.0000076543,0.0000076543,0,0,0.000007686686000000012,0,0,0.000007686686000000012,0,0,0.000007686686000000012,0,0,0.000007686686000000012
1724987520,0.0000076543,0.0000076698,0.0000076543,0.0000076617,0,0,0.00000768672200000001,0,0,0.00000768672200000001,0,0,0.00000768672200000001,0,0,0.00000768672200000001
1724987580,0.0000076617,0.0000076721,0.000007656,0.0000076681,0,0,0.000007686862000000012,0,0,0.000007686862000000012,0,0,0.000007686862000000012,0,0,0.000007686862000000012
1724987640,0.0000076681,0.0000076684,0.0000076555,0.0000076634,0,0,0.000007686738000000011,0,0,0.000007686738000000011,0,0,0.000007686738000000011,0,0,0.000007686738000000011
1724987700,0.0000076634,0.0000076758,0.0000076634,0.0000076758,0,0,0.00000768681400000001,0,0,0.00000768681400000001,0,0,0.00000768681400000001,0,0,0.00000768681400000001
1724987760,0.0000076758,0.0000076864,0.0000076729,0.0000076823,0,0,0.000007686886000000011,0,0,0.000007686886000000011,0,0,0.000007686886000000011,0,0,0.000007686886000000011
1724987820,0.0000076823,0.0000076857,0.000007679,0.000007679,0,0,0.000007687038000000012,0,0,0.000007687038000000012,0,0,0.000007687038000000012,0,0,0.000007687038000000012
1724987880,0.000007679,0.0000076791,0.0000076705,0.0000076705,0,0,0.000007686648000000012,0,0,0.000007686648000000012,0,0,0.000007686648000000012,0,0,0.000007686648000000012
1724987940,0.0000076705,0.0000076737,0.0000076645,0.0000076645,0,0,0.000007686336000000012,0,0,0.000007686336000000012,0,0,0.000007686336000000012,0,0,0.000007686336000000012
1724988000,0.0000076645,0.0000076832,0.0000076645,0.0000076815,0,0,0.000007686430000000012,0,0,0.000007686430000000012,0,0,0.000007686430000000012,0,0,0.000007686430000000012
1724988060,0.0000076815,0.0000076921,0.000007678,0.0000076793,0,0,0.000007686420000000013,0,0,0.000007686420000000013,0,0,0.000007686420000000013,0,0,0.000007686420000000013
1724988120,0.0000076793,0.0000076793,0.0000076723,0.0000076757,0,0,0.000007685858000000012,0,0,0.000007685858000000012,0,0,0.000007685858000000012,0,0,0.000007685858000000012
1724988180,0.0000076757,0.0000076768,0.0000076653,0.0000076653,0,0,0.000007684836000000012,0,0,0.000007684836000000012,0,0,0.000007684836000000012,0,0,0.000007684836000000012
1724988240,0.0000076653,0.0000076717,0.0000076636,0.0000076636,0,0,0.00000768403000000001,0,0,0.00000768403000000001,0,0,0.00000768403000000001,0,0,0.00000768403000000001
1724988300,0.0000076636,0.0000076753,0.0000076636,0.0000076753,0,0,0.00000768329200000001,0,0,0.00000768329200000001,0,0,0.00000768329200000001,0,0,0.00000768329200000001
1724988360,0.0000076753,0.0000076753,0.000007664,0.0000076697,0,0,0.000007682734000000012,0,0,0.000007682734000000012,0,0,0.000007682734000000012,0,0,0.000007682734000000012
1724988420,0.0000076697,0.0000076775,0.0000076661,0.0000076741,0,0,0.000007681988000000011,0,0,0.000007681988000000011,0,0,0.000007681988000000011,0,0,0.000007681988000000011
1724988480,0.0000076741,0.0000076779,0.0000076727,0.0000076771,0,0,0.00000768127200000001,0,0,0.00000768127200000001,0,0,0.00000768127200000001,0,0,0.00000768127200000001
1724988540,0.0000076771,0.0000076799,0.0000076745,0.0000076745,0,0,0.00000768068000000001,0,0,0.00000768068000000001,0,0,0.00000768068000000001,0,0,0.00000768068000000001
1724988600,0.0000076745,0.0000076753,0.0000076656,0.000007672,0,0,0.00000768014600000001,0,0,0.00000768014600000001,0,0,0.00000768014600000001,0,0,0.00000768014600000001
1724988660,0.000007672,0.000007672,0.0000076654,0.0000076654,0,0,0.00000767944200000001,0,0,0.00000767944200000001,0,0,0.00000767944200000001,0,0,0.00000767944200000001
1724988720,0.0000076654,0.0000076706,0.0000076615,0.0000076706,0,0,0.00000767889200000001,0,0,0.00000767889200000001,0,0,0.00000767889200000001,0,0,0.00000767889200000001
1724988780,0.0000076706,0.0000076772,0.0000076706,0.0000076732,0,0,0.000007678348000000009,0,0,0.000007678348000000009,0,0,0.000007678348000000009,0,0,0.000007678348000000009
1724988840,0.0000076732,0.0000076756,0.0000076631,0.0000076666,0,0,0.000007677660000000008,0,0,0.000007677660000000008,0,0,0.000007677660000000008,0,0,0.000007677660000000008
1724988900,0.0000076666,0.0000076708,0.0000076655,0.0000076708,0,0,0.00000767734200000001,0,0,0.00000767734200000001,0,0,0.00000767734200000001,0,0,0.00000767734200000001
1724988960,0.0000076708,0.0000076769,0.0000076708,0.0000076743,0,0,0.00000767699800000001,0,0,0.00000767699800000001,0,0,0.00000767699800000001,0,0,0.00000767699800000001
1724989020,0.0000076743,0.0000076777,0.0000076694,0.0000076757,0,0,0.000007676926000000009,0,0,0.000007676926000000009,0,0,0.000007676926000000009,0,0,0.000007676926000000009
1724989080,0.0000076757,0.0000076757,0.0000076682,0.0000076738,0,0,0.00000767699000000001,0,0,0.00000767699000000001,0,0,0.00000767699000000001,0,0,0.00000767699000000001
1724989140,0.0000076738,0.0000076738,0.0000076652,0.0000076652,0,0,0.000007676756000000009,0,0,0.000007676756000000009,0,0,0.000007676756000000009,0,0,0.000007676756000000009
1724989200,0.0000076652,0.0000076751,0.0000076647,0.0000076694,0,0,0.00000767647000000001,0,0,0.00000767647000000001,0,0,0.00000767647000000001,0,0,0.00000767647000000001
1724989260,0.0000076694,0.0000076694,0.000007662,0.0000076646,0,0,0.00000767609600000001,0,0,0.00000767609600000001,0,0,0.00000767609600000001,0,0,0.00000767609600000001
1724989320,0.0000076646,0.0000076743,0.00000766,0.0000076714,1,0,0.00000767595600000001,1,0,0.00000767595600000001,1,0,0.00000767595600000001,1,0,0.00000767595600000001
1724989380,0.0000076714,0.0000076771,0.0000076706,0.0000076724,0,0,0.000007675738000000009,0,0,0.000007675738000000009,0,0,0.000007675738000000009,0,0,0.000007675738000000009
1724989440,0.0000076724,0.000007674,0.000007669,0.000007674,0,0,0.00000767524600000001,0,0,0.00000767524600000001,0,0,0.00000767524600000001,0,0,0.00000767524600000001
1724989500,0.000007674,0.0000076899,0.0000076732,0.0000076882,0,0,0.00000767491000000001,0,0,0.00000767491000000001,0,0,0.00000767491000000001,0,0,0.00000767491000000001
1724989560,0.0000076882,0.0000076915,0.0000076859,0.0000076859,0,0,0.000007674696000000009,0,0,0.000007674696000000009,0,0,0.000007674696000000009,0,0,0.000007674696000000009
1724989620,0.0000076859,0.0000076918,0.0000076836,0.0000076899,0,0,0.00000767435600000001,0,0,0.00000767435600000001,0,0,0.00000767435600000001,0,0,0.00000767435600000001
1724989680,0.0000076899,0.0000076914,0.0000076848,0.0000076901,0,0,0.00000767395000000001,0,0,0.00000767395000000001,0,0,0.00000767395000000001,0,0,0.00000767395000000001
1724989740,0.0000076901,0.0000076967,0.0000076861,0.0000076957,0,0,0.000007673740000000009,0,0,0.000007673740000000009,0,0,0.000007673740000000009,0,0,0.000007673740000000009
1724989800,0.0000076957,0.0000076957,0.0000076868,0.0000076868,0,0,0.000007673758000000008,0,0,0.000007673758000000008,0,0,0.000007673758000000008,0,0,0.000007673758000000008
1724989860,0.0000076868,0.0000076892,0.0000076776,0.0000076884,0,0,0.00000767373000000001,0,0,0.00000767373000000001,0,0,0.00000767373000000001,0,0,0.00000767373000000001
1724989920,0.0000076884,0.0000076925,0.0000076877,0.0000076893,0,0,0.00000767388200000001,0,0,0.00000767388200000001,0,0,0.00000767388200000001,0,0,0.00000767388200000001
1724989980,0.0000076893,0.0000076894,0.0000076812,0.0000076861,0,0,0.00000767418600000001,0,0,0.00000767418600000001,0,0,0.00000767418600000001,0,0,0.00000767418600000001
1724990040,0.0000076861,0.0000076873,0.0000076822,0.0000076872,0,0,0.00000767431200000001,0,0,0.00000767431200000001,0,0,0.00000767431200000001,0,0,0.00000767431200000001
1724990100,0.0000076872,0.0000076899,0.0000076861,0.0000076861,0,0,0.00000767467200000001,0,0,0.00000767467200000001,0,0,0.00000767467200000001,0,0,0.00000767467200000001
1724990160,0.0000076861,0.0000076864,0.0000076809,0.0000076809,0,0,0.00000767488400000001,0,0,0.00000767488400000001,0,0,0.00000767488400000001,0,0,0.00000767488400000001
1724990220,0.0000076809,0.0000076809,0.0000076764,0.0000076764,0,0,0.000007674974000000011,0,0,0.000007674974000000011,0,0,0.000007674974000000011,0,0,0.000007674974000000011
1724990280,0.0000076764,0.000007682,0.0000076764,0.000007682,0,0,0.000007675178000000009,0,0,0.000007675178000000009,0,0,0.000007675178000000009,0,0,0.000007675178000000009
1724990340,0.000007682,0.000007682,0.0000076712,0.0000076735,0,0,0.00000767529400000001,0,0,0.00000767529400000001,0,0,0.00000767529400000001,0,0,0.00000767529400000001
1724990400,0.0000076735,0.0000076788,0.0000076656,0.0000076788,0,0,0.00000767560800000001,0,0,0.00000767560800000001,0,0,0.00000767560800000001,0,0,0.00000767560800000001
